Documento,Año,Decisión (Criterio),¿Usa Fagos?,¿Es P. aeruginosa?,Modelo/Población,Justificación Metodológica
BacteriophageMediated-Control-of-Biofilm-A-Promising-New-Dawn-for-the-Future_2022_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Bacteriophages-and-Their-Host-Range-in-MultidrugResistant-Bacterial-Disease-Treatment_2023_Multidisciplinary-Digital-Publishing-Institute-MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Beyond-antibiotics-phageencoded-lysins-against-Gramnegative-pathogens_2023_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Bile-modulates-phagehost-interactions-in-multidrugresistant-Pseudomonas-aeruginosa_2025_BioMed-Central-Ltd.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Case-report-Analysis-of-phage-therapy-failure-in-a-patient-with-a-Pseudomonas-aeruginosa-prosthetic-vascular-graft-infection_2023_Frontiers-Media-SA.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la evaluación de un caso reportado de infección por Pseudomonas aeruginosa, que fue tratada con una combinación de bacteriófagos y ceftrazidina-avibactam. El objetivo del estudio es analizar el fracaso terapéutico de la terapia bacteriófago en este caso específico. Este tipo de análisis se considera relevante para la investigación sistemática sobre la eficacia de las terapias bacteriófagos y su impacto en la resistencia a los antibióticos, lo que cumple con los criterios de inclusión del PRISMA."
Case-Report-Chronic-Bacterial-Prostatitis-Treated-With-Phage-Therapy-After-Multiple-Failed-Antibiotic-Treatments_2021_Frontiers-Media-SA.pdf,Desconocido,ERROR,Error,Error,Error,"Error de ejecución del script: Expecting ',' delimiter: line 6 column 377 (char 524)"
Catheterassociated-urinary-tract-infections-Etiological-analysis-biofilm-formation-antibiotic-resistance-and-a-novel-therapeutic-era-of-phage_2022_Veterinary-World.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Characterisation-of-Bacteriophage-vB_SmaM_Ps15-Infective-to-Stenotrophomonas-maltophilia-Clinical-Ocular-Isolates_2022_MDPI.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Characterization-of-a-novel-phage-ab16562-and-its-endolysin-with-higher-antimicrobial-activity-against-multidrugresistant-acinetobacter-baumannii_2021_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Clinical-Experience-of-Personalized-Phage-Therapy-Against-CarbapenemResistant-Acinetobacter-baumannii-Lung-Infection-in-a-Patient-With-Chronic-Obstructive-Pulmonary-Disease_2021_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Crisis-averted-a-world-united-against-the-menace-of-multiple-drugresistant-superbugs-pioneering-antiAMR-vaccines-RNA-interference-nanomedicine-CRISPRbased-antimicrobials-bacteriophage-therapies-and-clinical-artifi.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se enfoca en la evaluación de métodos anti-AMR, incluyendo bacteriopagos y proteína fagos, específicamente contra Pseudomonas aeruginosa. Los criterios de inclusión son cumplidos: el estudio evalúa activamente estos métodos, utiliza bacteria objetivo (Pseudomonas aeruginosa) y se presenta como un estudio primario con datos experimentales."
Current-status-of-endolysinbased-treatments-against-gramnegative-bacteria_2021_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en el uso de bacteriófagos y proteína endolysina contra bacteria Gram-negative, específicamente Pseudomonas aeruginosa. No se menciona la utilización de antibióticos convencionales ni se excluye la búsqueda de métodos alternativos para controlar las infecciones causadas por estas bacterias."
Development-and-Evaluation-of-Bacteriophage-Cocktail-to-Eradicate-Biofilms-Formed-by-an-Extensively-DrugResistant-XDR-Pseudomonas-aeruginosa_2023_MDPI.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio presenta un método efectivo para la preparación de una cocktail bacteriophage y su evaluación en condiciones in vitro, in vivo (animales) y clínicamente. Además, el trabajo evalúa la eficacia antimicrobiana contra las cepas XDR Pseudomonasaeruginosa que forman biofilms. La bacteria objetivo es específicamente Pseudomonasaeruginosa, lo cual cumple con los criterios de inclusión."
Direct-Lytic-Agents-Novel-Rapidly-Acting-Potential-Antimicrobial-Treatment-Modalities-for-Systemic-Use-in-the-Era-of-Rising-Antibiotic-Resistance_2022_Frontiers-Media-SA.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la evaluación de direct lytic agents, que son compuestos con un mecanismo único de acción basado en la desestabilización rápida del paredoma y la lisis bacteriana. Los estudios incluyen datos experimentales tanto in vitro como clínicos, lo cual cumple los criterios de elegibilidad para ser considerado una revisión sistemática."
Disrupting-Biofilm-Formation-and-Antibiotic-Resistance-in-Pseudomonas-aeruginosa-Using-PhageDelivered-Sensitivity-Cassettes-A-Research-Protocol_2021_Undergraduate-Research-in-Natural-and-Clinical-Sciences-and-Tech.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study evaluates the use of bacteriophages or proteinaceous fagos in disrupting biofilm formation and antibiotic resistance in Pseudomonas aeruginosa, which meets all criteria for inclusion. The research protocol aims to induce overexpression of rpoS gene cassette through phage delivery, targeting adaptive resistance mechanisms in P. aeruginosa biofilms. This approach is distinct from conventional antibiotics alone, making it a novel strategy for treating multidrug-resistant pathogens like Pseudomonas aeruginosa."
Editorial-Deciphering-antimicrobial-resistance-genetic-insights-and-perspectives_2025_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Editorial-Enterobacteriaceae-antimicrobial-agents-and-resistance-relationship-with-the-therapeutic-approach-volume-II_2024_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Emerging-strategies-to-combat-ESKAPE-pathogens-in-the-era-of-antimicrobial-resistance-A-review_2019_Frontiers-Media-SA-infofrontiersinorg.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Enhancing-antibacterial-properties-of-bacteriocins-using-combination-therapy_2023_Open-Science-Publishers-LLP-Inc.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The article discusses the enhancement of antibacterial properties using combinatorial therapy, specifically focusing on bacteriocins. It mentions that bacteriocins are viable alternatives to antibiotics and have potential to substitute antibiotics against multidrug-resistant pathogens. The study does not exclude any specific bacteria or focus solely on conventional antibiotics, making it eligible for inclusion under PRISMA guidelines."
Experimental-phage-evolution-results-in-expanded-host-ranges-against-antibiotic-resistant-Klebsiella-pneumoniae-isolates_2025_Nature-Research.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la evaluación experimental de bacteriófagos y proteínas de fagos, específicamente contra Pseudomonas aeruginosa. Además, el diseño del experimento es in vitro, lo que permite una evaluación directa y precisa de los resultados."
Genomic-analysis-of-a-novel-phage-infecting-the-Turkey-pathogen-Escherichia-coli-APEC-O78-and-its-endolysin-activity_2021_MDPI-AG.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Gramnegative-bacterial-lysins_2020_MDPI-AG-indexingmdpicom-Postfach-Basel-CH4005.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
HealthcareAssociated-Infections-The-Role-of-Microbial-and-Environmental-Factors-in-Infection-ControlA-Narrative-Review_2025_Adis.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Identification-and-characterization-of-phage-protein-and-its-activity-against-two-strains-of-multidrugresistant-Pseudomonas-aeruginosa_2019_Nature-Publishing-Group-Houndmills-Basingstoke-Hampshire-RG21-6XS.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study evaluates the efficacy of phage protein PA-PP against multi-drug resistant Pseudomonas aeruginosa strains, specifically PAR50 and PAR21. It uses in vitro assays such as spot assay, zymography, spectrophotometry, and scanning electron microscopy at low voltage (SEM-LV) to demonstrate the activity of PA-PP on these strains. The results indicate that PA-PP has no impact on the PAR21 strain but exhibits significant activity against the PAR50 strain. Additionally, it shows a synergistic effect with piperacillin, leading to higher sensitivity of bacterial cells to this antibiotic. This study meets all criteria for inclusion as it evaluates phage protein efficacy in vitro and is not a review or focused solely on conventional antibiotics."
Insights-on-Current-Strategies-to-Decolonize-the-Gut-from-MultidrugResistant-Bacteria-Pros-and-Cons_2023_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Isolation-and-characterization-of-a-novel-bacteriophage-PUTH1-active-against-Pseudomonas-aeruginosa_2025_BioMed-Central-Ltd.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study isolates and characterizes a novel bacteriophage PUTH1 that is active against multidrug-resistant Pseudomonas aeruginosa. It uses the double-layer agar spot method for phage isolation, TEM for morphology characterization, and comprehensive bioinformatics analysis for genome sequencing and functional prediction. The findings demonstrate significant anti-biofilm activity and distinct genomic characteristics, making it a promising therapeutic candidate."
Isolation-and-Characterization-of-Novel-Bacteriophages-to-Target-CarbapenemResistant-Acinetobacter-baumannii_2024_Multidisciplinary-Digital-Publishing-Institute-MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se enfoca en la identificación y caracterización de bacterioplasmas específicos para el tratamiento contra carbapenem-resistente Acinetobacter baumannii, que es una bacteria gram-negative conocida por su resistencia a antibióticos. El objetivo del estudio es evaluar la eficacia de estos bacterioplasmas en un modelo in vitro y clínico, lo cual se ajusta al criterio de inclusión establecido."
Isolation-and-characterization-of-phages-ZC2-and-ZC3-against-carbapenemresistant-Acinetobacter-baumannii-and-efficacy-of-ZC3-on-A549-cells_2025_BioMed-Central-Ltd.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Isolation-and-Phenotypic-Characterization-of-Virulent-Bacteriophages-Against-MultidrugResistant-Escherichia-coli-and-Its-PhageResistant-Variant-from-Sewage-Sources_2024_Dove-Medical-Press-Ltd.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"The study focuses on isolating and characterizing virulent bacteriophages against multidrug-resistant Escherichia coli, specifically targeting the resistant variant. It follows standard protocols for isolation of lytic phages from sewage samples, which aligns with the inclusion criteria."
Isolation-Characterization-And-Therapeutic-Potential-Of-Bacteriophages-Against-MultidrugResistant-Bacteria_2025_Avestia-Publishing.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Medical-DeviceAssociated-Biofilm-Infections-and-MultidrugResistant-Pathogens_2024_Multidisciplinary-Digital-Publishing-Institute-MDPI.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Metagenomic-Sequencing-and-Reverse-Transcriptase-PCR-Reveal-That-Mobile-Phones-and-Environmental-Surfaces-Are-Reservoirs-of-MultidrugResistant-Superbugs-and-SARSCoV2_2022_Frontiers-Media-SA.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en el análisis de muestras provenientes de los teléfonos móviles y las superficies ambientales del hospital, utilizando métodos como la metagenómica y la PCR RT-PCR. Los resultados demuestran la presencia de bacterias multidrug-resistant (MDR) superbacterias y virus SARS-CoV-2 en estos materiales, lo que sugiere una posible transmisión de patógenos potencialmente perjudiciales a través de los teléfonos móviles. Además, el estudio incluye muestras clínicas humanas para evaluar la presencia de estas bacterias y virus en pacientes hospitalizados."
Microbiome-Modulation-as-a-Novel-Strategy-to-Treat-and-Prevent-Respiratory-Infections_2022_MDPI.pdf,Desconocido,EXCLUIDO,No,No,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Molecular-epidemiological-study-of-Pseudomonas-aeruginosa-strains-isolated-from-hospitals-in-Brazil-by-MLST-and-CRISPRCas-system-analysis_2025_Springer-Science-and-Business-Media-Deutschland-GmbH.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Nanomaterials-and-Coatings-for-Managing-AntibioticResistant-Biofilms_2023_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Natural-Antibiofilm-Agents-Strategies-to-Control-BiofilmForming-Pathogens_2020_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Novel-Bacteriophages-Show-Activity-against-Selected-Australian-Clinical-Strains-of-Pseudomonas-aeruginosa_2022_MDPI.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study isolates and characterizes four novel bacteriophages against Australian clinical strains of Pseudomonas aeruginosa that have been isolated from patients with cystic fibrosis, infected blood, and joint aspirate in Southeast Queensland, Australia. The phages were enriched using the clinical strains, and their activity was evaluated on three identified clinical isolates. This research focuses on developing and utilizing these novel bacteriophages as candidates for phage therapy as an alternative strategy to manage or eliminate pathogenic strains of Pseudomonas aeruginosa."
Phage-Therapy-in-a-Burn-Patient-Colonized-with-Extensively-DrugResistant-Pseudomonas-aeruginosa-Responsible-for-Relapsing-VentilatorAssociated-Pneumonia-and-Bacteriemia_2024_Multidisciplinary-Digital-Publishing-In.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Potential-application-of-combined-therapy-with-lectins-as-a-therapeutic-strategy-for-the-treatment-of-bacterial-infections_2021_MDPI-AG.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la aplicación de combinación terapéutica con lectinas para tratar infecciones específicas causadas por bacterias multidrug-resistant y formadoras de biofilm, como Staphylococcus aureus, Escherichia coli y Pseudomonas aeruginosa. Además, se discute cómo la modulación del microbiota intestinal puede afectar la resistencia antimicrobiana y el sistema inmune host. No se menciona específicamente la evaluación de fagos o proteínas de fagos en este estudio."
Reducing-biofilm-infections-in-burn-patients-wounds-and-biofilms-on-surfaces-in-hospitals-medical-facilities-and-medical-equipment-to-improve-burn-care-A-systematic-review_2021_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Selective-COVID19-Coinfections-in-Diabetic-Patients-with-Concomitant-Cardiovascular-Comorbidities-Are-Associated-with-Increased-Mortality_2022_MDPI.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la evaluación del uso de bacteriófagos y proteínas de fagos, específicamente para el uso en pacientes con diabetes tipo 1. La bacteria objetivo es Pseudomonas aeruginosa, lo que no coincide con los criterios de inclusión establecidos. Además, el estudio se enfoca principalmente en la evaluación clínica de las condiciones asociadas a la diabetes tipo 1 y su relación con la mortalidad en pacientes hospitalizados con COVID-19, lo que no es compatible con los criterios de exclusión critico sobre estudios de revisión o solo antibióticos convencionales. Por lo tanto, se considera como estudio incluido debido a su objetivo clínico específico y el uso de bacteriófagos en pacientes con diabetes tipo 1."
Synergistic Bactericidal Effects of R- and F-Type Pyocin Cocktails.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Synergistic-effects-of-bacteriophage-cocktail-and-antibiotics-combinations-against-extensively-drugresistant-Acinetobacter-baumannii_2024_BioMed-Central-Ltd.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"The study investigates the biofilm formation ability of 30 XDR A. baumannii isolates and evaluates the efficacy of a cocktail of four temperate bacteriophages (SA1, Eve, Ftm, and Gln) in inhibiting and degrading the biofilms of these strains. The inclusion criteria are met as it focuses on the use of bacteriophage cocktails against XDR A. baumannii."
The-Building-Blocks-of-Antimicrobial-Resistance-in-Pseudomonas-aeruginosa-Implications-for-Current-ResistanceBreaking-Therapies_2021_Frontiers-Media-SA.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la resistencia a los antibióticos de Pseudomonas aeruginosa, específicamente cómo estas bacterias utilizan fagos para resistir a las terapias antimicrobianas. El artículo no es una revisión ni solo estudia antibióticos convencionales, por lo que cumple con los criterios de inclusión."
The-evolution-of-the-multidrugresistant-and-globally-distributed-ST2-Acinetobacter-baumannii-in-China_2025_BioMed-Central-Ltd.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Topically-applied-bacteriophage-to-control-multidrug-resistant-Pseudomonas-aeruginosainfected-wounds-in-a-New-Zealand-rabbit-model_2022_Frontiers-Media-SA.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study evaluates the use of bacteriophage PaVOA, which belongs to the Myoviridae family and has a double-stranded DNA genome. It is resistant to low temperatures (-20°C) and optimal at 40°C. The phage cocktail or cephalosporin antibiotic was used as a control group in the rabbit skin infection model. The results demonstrated that PaVOA showed therapeutic efficacy comparable to the phage cocktail, indicating its potential as an alternative treatment for multi-drug resistant Pseudomonas aeruginosa infections."
Trends-epidemiology-and-management-of-multidrug-resistant-gramnegative-bacterial-infections-in-the-hospitalized-setting_2020_MDPI-AG-rasettimdpicom-Postfach-Basel-CH4005.pdf,Desconocido,EXCLUIDO,No,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Urinary-Tract-Infections-Caused-by-K-pneumoniae-in-Kidney-Transplant-Recipients--Epidemiology-Virulence-and-Antibiotic-Resistance_2022_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
What-Approaches-to-Thwart-Bacterial-Efflux-PumpsMediated-Resistance_2022_MDPI.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
