study_group,title,year,journal,identifiers,sources,n_source_records
S9802,"Phage4Cure-001 - A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of",,,,CTIS,1
S9799,"PhagoDAIR I : A Pilot, Multicenter, Randomized, Non Comparative, Double-Blind Study of Phage Therapy in Patients with Hip or Knee Prosthetic Joint Infection due to Staphylococcus a",,,,CTIS,1
S9792,"PhagoDAIR I: A Phase I/II Multicenter, Randomized, Double-Blind Study to Evaluate Efficacy and Safety of Phage Therapy in Patients with Hip or Knee Prosthetic Joint Infection due to Staphylococcus ...",,,,EudraCT,1
S10032,Sobre a lise microbiana transmissivel,1922,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S10031,"Pesquisa de Staphylococcus aureus enterotoxigênico nas fossas nasais de manipuladores de alimentos em hospitais, São Paulo, 1976",1980,Revista de Saúde Pública,,SciELO,2
S10030,"Staphylococcus aureus enterotoxigênico em doces cremosos vendidos em padarias e confeitarias do município de São Paulo, Brasil",1981,Revista de Saúde Pública,,SciELO,2
S10029,Observação sobre o padrão fágico de cepas de Staphylococcus aureus isoladas da boca e do nariz de indivíduos sãos,1983,Revista de Saúde Pública,,SciELO,2
S10027,Salmonella typhi: lisotipia VI e biotipificação em amostras oriundas de algumas regiões do Brasil,1984,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S10026,"Staphylococcus aureus enterotoxigênico no vestíbulo nasal de manipuladores de alimentos em cozinhas de hospitais do município de João Pessoa, PB, Brasil",1984,Revista de Saúde Pública,,SciELO,2
S10028,The role of spleen macrophages in malaria: an ultrastructural study,1984,Revista da Sociedade Brasileira de Medicina Tropical,,SciELO,1
S10025,Staphylococcus aureus: portadores entre manipuladores de alimentos,1988,Revista de Saúde Pública,,SciELO,2
S10023,"Ocorrência simultânea de Staphylococcus aureus enterotoxigênicos nas mãos, boca e fezes em portadores assintomáticos",1989,Revista de Saúde Pública,,SciELO,2
S10024,Phage typing of Micobacterium tuberculosis in Cuba,1989,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S10022,Genotoxicity of plant extracts,1991,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S10021,The p53 gene expression and its developmental regulation in schistosomes,1992,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9569,Evaluate Bacteriophage as a Useful Immunogen in Patients With Primary Immune Deficiency Diseases (PIDD),1995,,nct:NCT01617122,ClinicalTrials.gov,1
S10020,"Lysotypes and plasmidial profile of Salmonella Serovar Typhimurium isolated from children with enteric processes in the cities of Rio de Janeiro, RJ, and Salvador, BA - Brazil",1995,Revista do Instituto de Medicina Tropical de São Paulo,,SciELO,1
S10019,"Progression of Salmonella Enteritidis phage type 4 strains in São Paulo State, Brazil",1996,Revista do Instituto de Medicina Tropical de São Paulo,,SciELO,1
S9562,The Use of Bacteriophage Phi X174 to Assess the Immune Competence of HIV-Infected Patients In Vivo,1996,,nct:NCT00001540,ClinicalTrials.gov,1
S10018,Mini-Mu insertions in the tetracycline resistance determinant from Proteus mirabilis,1997,Brazilian Journal of Medical and Biological Research,,SciELO,1
S10017,New thermal inducible Streptomyces phages isolated from tropical soils,1997,Brazilian Journal of Genetics,,SciELO,1
S10016,"Fagotipagem de cepas de Staphylococcus aureus resistentes a antibióticos, isoladas de leite",1998,Brazilian Journal of Veterinary Research and Animal Science,,SciELO,1
S10015,Identificación de una nueva proteína en Leishmania (Viannia) peruviana,1998,Revista Peruana de Medicina Experimental y Salud Publica,,SciELO,1
S10014,Surtos de enfermidades transmitidas por alimentos causados por Salmonella Enteritidis,1998,Revista de Saúde Pública,,SciELO,2
S10013,Detection and characterization of bacteriocin-producing Lactococcus lactis strains,1999,Revista de Microbiologia,,SciELO,1
S9561,Study of Immune Responses and Safety of Recombinant Human CD40 Ligand in Patients With X-Linked Hyper-IgM Syndrome,1999,,nct:NCT00001145,ClinicalTrials.gov,1
S10012,A simplified CsCL protocol for lambda DNA purification: no enzymatic treatment/one phenol extraction,2000,Genetics and Molecular Biology,,SciELO,1
S10010,Expression of anti-Z-DNA single chain antibody variable fragment on the filamentous phage surface,2000,Brazilian Journal of Medical and Biological Research,,SciELO,1
S10011,Staphylococcus e infección nosocomial,2000,Revista Cubana de Higiene y Epidemiología,,SciELO,1
S10009,Vibrio cholerae No-01 toxigénico,2000,Revista Cubana de Medicina Tropical,,SciELO,1
S10008,Zinc binding to lambda phage DNA studied by voltammetric techniques,2000,Journal of the Brazilian Chemical Society,,SciELO,1
S10005,Antilisterial activity of lactic acid bacteria isolated from vacuum-packaged brazilian meat and meat products,2001,Brazilian Journal of Microbiology,,SciELO,1
S10003,Characterization of the Brazilian endemic clone of methicillin-resistant Staphylococcus aureus (MRSA) from hospitals throughout Brazil,2001,Brazilian Journal of Infectious Diseases,,SciELO,1
S10001,Human Antibody Libraries Displayed on the Surface of Filamentous Phages: A Plentiful Source of Antibodies for Diverse Purposes,2001,Journal of Venomous Animals and Toxins,,SciELO,1
S10004,Osteomielitis: Revisión y Actualización,2001,Revista de la Facultad de Medicina,,SciELO,1
S10007,The Bacteriophage lambdaDNA packaging enzyme: Identification of four structural domains of the gpNu1 subunit using limited proteolysis,2001,Biological Research,,SciELO,1
S10006,"Tipificación fágica de aislados de Salmonella enteritidis de muestras clínicas, alimentarias y avícolas en Chile",2001,Revista Panamericana de Salud Pública,,SciELO,1
S10002,r-Sm14 - pRSETA efficacy in experimental animals,2001,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S10000,Conventional and molecular typing of Salmonella typhi strains from Brazil,2002,Revista do Instituto de Medicina Tropical de São Paulo,,SciELO,1
S9998,Caracterización e inmunoreactividad de la proteína acídica Ribosomal P2ß de L. (V.) braziliensis,2003,Revista Peruana de Medicina Experimental y Salud Publica,,SciELO,1
S9994,"Fenotipos bioquímicos y fagotipos de cepas de Salmonella enteritidis aisladas en Antofagasta, 1997-2000",2003,Revista médica de Chile,,SciELO,1
S9995,"Nematode community, trophic structure and population fluctuation in soybean fields",2003,Fitopatologia Brasileira,,SciELO,1
S9993,Phage amplification assay as rapid method for Salmonella detection,2003,Brazilian Journal of Microbiology,,SciELO,1
S9999,"Phage types of Salmonella Enteritidis isolated from clinical and food samples, and from broiler carcasses in Southern Brazil",2003,Revista do Instituto de Medicina Tropical de São Paulo,,SciELO,1
S9997,"Phenotypic and molecular characterization of Salmonella Enteritidis strains isolated in São Paulo, Brazil",2003,Revista do Instituto de Medicina Tropical de São Paulo,,SciELO,1
S9996,"Reverse transcription-polymerase chain reaction construction of plasmid-based, full-length cDNA libraries from Leishmania infantum for in vitro expression screening",2003,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9988,A high-copy T7 Escherichia coli expression vector for the production of recombinant proteins with a minimal N-terminal His-tagged fusion peptide,2004,Brazilian Journal of Medical and Biological Research,,SciELO,1
S9985,Bacterial degradation of aromatic pollutants: a paradigm of metabolic versatility,2004,International Microbiology,,SciELO,1
S9987,Bacteriophage prophylaxis against Salmonella enteritidis and Salmonella pullorum using Caenorhabditis elegans as an assay system,2004,Electronic Journal of Biotechnology,,SciELO,1
S9990,In vitro characterization and in vivo properties of Salmonellae lytic bacteriophages isolated from free-range layers,2004,Brazilian Journal of Poultry Science,,SciELO,1
S9989,Lactococcus bacteriophages isolated from whey and their effects on commercial lactic starters,2004,Brazilian Archives of Biology and Technology,,SciELO,1
S9991,"Peculiarities of the DNA of MM1, a temperate phage of Streptococcus pneumoniae",2004,International Microbiology,,SciELO,1
S9986,Streptococcus pneumoniae and its bacteriophages: one long argument,2004,International Microbiology,,SciELO,1
S9564,T4N5 Liposomal Lotion in Preventing The Recurrence of Nonmelanoma Skin Cancer in Patients Who Have Undergone a Kidney Transplant,2004,,nct:NCT00089180,ClinicalTrials.gov,1
S9992,Virus en sistemas acuáticos e implicaciones en salud pública,2004,Hidrobiológica,,SciELO,1
S9983,A shortcut in phage screening technique,2005,Genetics and Molecular Biology,,SciELO,1
S9981,"Comparação entre hipoclorito de sódio e ácido peracético na inativação de E. coli, colifagos e C. perfringens em água com elevada concentração de matéria orgânica",2005,Engenharia Sanitaria e Ambiental,,SciELO,1
S9978,Determinación de la permeabilidad viral de los condones de membrana de poliolefina al bacteriófago FX174,2005,Biomédica,,SciELO,1
S9984,Differential responses of nematode communities to soybean genotypes resistant and susceptible to Heterodera glycines race 3,2005,Fitopatologia Brasileira,,SciELO,1
S9568,Experimental Phage Therapy of Bacterial Infections,2005,,nct:NCT00945087,ClinicalTrials.gov,1
S9982,Phage display technology: applications and innovations,2005,Genetics and Molecular Biology,,SciELO,1
S9979,"Sanitary quality of sands from marine recreational beaches of São Paulo, Brazil",2005,Brazilian Journal of Microbiology,,SciELO,1
S9980,Use of lytic bacteriophages to reduce Salmonella Enteritidis in experimentally contaminated chicken cuts,2005,Brazilian Journal of Poultry Science,,SciELO,1
S9565,"A Prospective, Randomized, Double-Blind Controlled Study of WPP-201 for the Safety and Efficacy of Treatment of Venous Leg Ulcers",2006,,nct:NCT00663091,ClinicalTrials.gov,1
S9975,"Antimicrobial susceptibility, phage types, and pulsetypes of Salmonella Typhimurium, in São Paulo, Brazil",2006,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9977,DNA fingerprinting by ERIC-PCR for comparing Listeria spp. strains isolated from different sources in San Luis: Argentina,2006,Revista argentina de microbiología,,SciELO,1
S9973,Discriminação de sorovares de Salmonella spp. isolados de carcaças de frango por REP e ERIC-PCR e fagotipagem do sorovar Enteriditis,2006,Food Science and Technology,,SciELO,1
S9974,"Distribution of virulence genes sefC, pefA and spvC in Salmonella Enteritidis phage type 4 strains isolated in Brazil",2006,Brazilian Journal of Microbiology,,SciELO,1
S9976,Improved affinity selection using phage display technology and off-rate based selection,2006,Electronic Journal of Biotechnology,,SciELO,1
S9972,The lift pool method for isolation of cDNA clones from lambda phage libraries,2006,Electronic Journal of Biotechnology,,SciELO,1
S9566,Gluten-free Diet in Gluten-genetically Predisposed Subjects,2007,,nct:NCT00677495,ClinicalTrials.gov,1
S9969,Partial characterization of antagonistic substance produced by a Clostridium butyricum strain,2007,Brazilian Journal of Microbiology,,SciELO,1
S9968,Phage typing and Multidrug resistance profile in S. Typhimurium isolated from different sources in Brazil from 1999 to 2004,2007,Brazilian Journal of Microbiology,,SciELO,1
S9967,Phage-resistance of Salmonella enterica serovar Enteritidis and pathogenesis in Caenorhabditis elegans is mediated by the lipopolysaccharide,2007,Electronic Journal of Biotechnology,,SciELO,1
S9965,Phenotypic and genotypic characterization of Salmonella Enteritidis isolates,2007,Brazilian Journal of Microbiology,,SciELO,1
S9971,Restriction-modification systems in Mycoplasma spp,2007,Genetics and Molecular Biology,,SciELO,1
S9966,Salmonella Hadar phage types isolated from different sources of foodchain in Brazil,2007,Brazilian Journal of Microbiology,,SciELO,1
S9970,"Salmonella spp. in raw broiler parts: occurrence, antimicrobial resistance profile and phage typing of the Salmonella Enteritidis isolates",2007,Brazilian Journal of Microbiology,,SciELO,1
S6874,Bacteriophage Therapy of Difficult-to-treat Infections,2008,,nct:NCT05498363,ClinicalTrials.gov,1
S9961,Comportamiento de los indicadores de contaminación fecal en diferente tipo de aguas de la sabana de Bogotá (Colombia),2008,Universitas Scientiarum,,SciELO,1
S9959,Genomic variants of bacteriophages against Salmonella enterica serovar Enteritidis with potential application in the poultry industry,2008,Brazilian Journal of Poultry Science,,SciELO,1
S9962,Patogenia de Salmonella enteritidis FT 13a y Salmonella enteritidis biovar Issatschenko en pollos de engorda,2008,Veterinaria México,,SciELO,1
S9964,Prevención de la infección por Salmonella enterica subespecie enterica serotipo Enteritidis (Salmonella Enteritidis) en pollos mediante un bacteriófago,2008,Archivos de medicina veterinaria,,SciELO,1
S9958,"Primary endemic Cryptococcosis gattii by molecular type VGII in the state of Pará, Brazil",2008,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9963,RAPD/PCR AND PHAGE TYPING OF SALMONELLA ENTERITIDIS ISOLATED FROM POULTRY AND FOOD POISONING OUTBREAKS,2008,Arquivos do Instituto Biológico,doi:10.1590/1808-1657v75p0912008,SciELO,1
S9960,Regional pattern of the molecular types of Cryptococcus neoformans and Cryptococcus gattii in Brazil,2008,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S0272,Antibacterial Treatment Against Diarrhea in Oral Rehydration Solution,2009,,nct:NCT00937274,ClinicalTrials.gov,1
S9955,Bacteriophage: laboratorial diagnosis and phage therapy,2009,Brazilian Journal of Microbiology,,SciELO,1
S9954,Can painting human cells with exogenous maltoporin enable efficient therapeutic gene transfer by bacteriophage lambda vectors?,2009,Electronic Journal of Biotechnology,,SciELO,1
S9950,Colera y Vibrio cholerae,2009,Revista del Instituto Nacional de Higiene Rafael Rangel,,SciELO,1
S9952,"Evolución de los serotipos, fagotipos y resistencia a antimicrobianos de Salmonella sp en el departamento de salud 02 de la provincia de Castellón, España (2000-2006)",2009,Revista chilena de infectología,,SciELO,1
S9567,Immune Responses in Patients Treated With Raltegravir,2009,,nct:NCT00785967,ClinicalTrials.gov,1
S9957,In silico analysis for identification of tick phagotopes selected by phage-displayed libraries,2009,Revista Brasileira de Parasitologia Veterinária,doi:10.4322/rbpv.01801007,SciELO,1
S9956,"Molecular characterisation of Sporothrix schenckii isolates from humans and cats involved in the sporotrichosis epidemic in Rio de Janeiro, Brazil",2009,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9951,Nuevo patrón genético de Escherichia coli O157:H7 biotipo &quot;B&quot; en Argentina,2009,Acta bioquímica clínica latinoamericana,,SciELO,1
S9953,"Tracing lineage by phenotypic and genotypic markers in Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- and Salmonella Typhimurium isolated in state of São Paulo, Brazil",2009,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9947,"A phage display combined with DNA affinity magnetic system can be applied to a screening of DNA binding proteins, such as transcription factors",2010,Electronic Journal of Biotechnology,,SciELO,1
S9948,Análisis comparativo de seis genomas del complejo Mycobacterium tuberculosis,2010,Biomédica,,SciELO,1
S9941,Construcción de mutantes de Salmonella enterica por inactivación de los genes invG/invE y ssaJ/ssaK de las islas de patogenicidad 1 y 2,2010,Revista Colombiana de Biotecnología,,SciELO,1
S9944,Construção de uma biblioteca de fragmentos de anticorpos monoclonais de galinhas com cadeia única (scFv) por phage display com reatividade cruzada para estirpes heterólogas do vírus da bronquite infecciosa aviária,2010,Ciência Rural,,SciELO,1
S9945,ENGINEERING ANTIBODY FRAGMENTS: REPLICATING THE IMMUNE SYSTEM AND BEYOND,2010,Revista Ingeniería Biomédica,,SciELO,1
S9946,"Ensayo de neutralización in vitro de aplicación en la evaluación de inmunógenos contra la hepatitis A, obtenidos mediante la tecnología de expresión en fagos filamentosos",2010,Vaccimonitor,,SciELO,1
S9949,Multiplicação do bacteriófago,2010,Ciência e Cultura,,SciELO,1
S9943,Técnica phage display permite maior especificidade no sorodiagnóstico de antígenos do vírus da bronquite infecciosa aviária,2010,Ciência Rural,,SciELO,1
S9942,¿Es seguro para la salud humana y animal el uso de raticidas que contienen Salmonella?,2010,Revista Peruana de Medicina Experimental y Salud Pública,,SciELO,2
S9938,Ciao merlettà: a volta italianada da muié rendera,2011,Estudos Históricos (Rio de Janeiro),,SciELO,1
S9935,"Codon optimization of 1,3-propanediol oxidoreductase expression in Escherichia coli and enzymatic properties",2011,Electronic Journal of Biotechnology,,SciELO,1
S9936,El sistema Cre/loxP1 como una herramienta genética en Yarrowia lipolytica,2011,Revista mexicana de micología,,SciELO,1
S9937,"Estrutura da população de nematoides do solo em uma unidade de produção agroecológica no estado do Rio de Janeiro, Brasil",2011,Acta Scientiarum. Agronomy,doi:10.4025/actasciagron.v33i2.4716,SciELO,1
S9939,Prevalence of R-type ACSSuT in strains of Salmonella serovar Typhimurium DT193 isolated from human infections in Brazil,2011,Revista Panamericana de Salud Pública,,SciELO,1
S9934,Stability inside hen eggs of a Salmonella enterica serovar Enteritidis bacteriophage,2011,Electronic Journal of Biotechnology,,SciELO,1
S9940,Uso de bacteriófagos en gallinas de postura infectadas con Salmonella enterica serotipo Enteritidis: prevención de la colonización intestinal y reproductiva,2011,Archivos de medicina veterinaria,,SciELO,1
S9925,Aplicación del análisis de riesgo a la producción de proteínas recombinantes expresadas en Escherichia coli,2012,Vaccimonitor,,SciELO,1
S9570,Bacteriophage Effects on Pseudomonas Aeruginosa,2012,,nct:NCT01818206,ClinicalTrials.gov,1
S9924,Bacteriophage amplification assay for detection of Listeria spp. using virucidal laser treatment,2012,Brazilian Journal of Microbiology,,SciELO,1
S9930,Characterization and lytic activity of Pseudomonas fluorescens phages from sewage,2012,Brazilian Journal of Microbiology,,SciELO,1
S9923,Comparación de la eficiencia de extracción de ácidos nucleicos utilizando distintos kits comerciales y empleando la qPCR: Efecto de las sustancias inhibidoras,2012,Revista argentina de microbiología,,SciELO,1
S9931,Comparing effects of freezing at -196 ºC and -20 ºC on the viability of mastitis pathogens,2012,Onderstepoort Journal of Veterinary Research,,SciELO,1
S9932,Comparison of two peptide radiotracers for prostate carcinoma targeting,2012,Clinics,doi:10.6061/clinics/2012(02)12,SciELO,1
S9926,Cromatografía de exclusión molecular como metodología para la purificación de bacteriófagos,2012,Vaccimonitor,,SciELO,1
S9922,Mimotopes selected by biopanning with high-titer HIV-neutralizing antibodies in plasma from Chinese slow progressors,2012,Brazilian Journal of Infectious Diseases,doi:10.1016/j.bjid.2012.07.003,SciELO,1
S9933,"Nuevos Perfiles Genéticos de Salmonella Enteritidis identificados en Luján, Argentina",2012,Información tecnológica,,SciELO,1
S9571,Pilot Study to Evaluate Reparixin With Weekly Paclitaxel in Patients With HER 2 Negative Metastatic Breast Cancer (MBC),2012,,nct:NCT02001974,ClinicalTrials.gov,1
S9928,Resistência de bactérias ácido-láticas a bacteriófagos provenientes de unidades de processamento de queijo Coalho,2012,Ciência Rural,,SciELO,1
S9927,Sobrevivencia de bacteriófagos en una presa recreativa del noreste de México,2012,Revista internacional de contaminación ambiental,,SciELO,1
S9929,Técnica para aislamiento de bacteriófagos específicos para E.coli DH5α a partir de aguas residuales,2012,Revista MVZ Córdoba,,SciELO,1
S9916,Antagonismo microbiano en la terapia de las enfermedades infecciosas,2013,Revista chilena de infectología,,SciELO,1
S9913,Aplicación de una biblioteca de anticuerpos lineales humanos frente al polisacárido capsular de Neisseria meningitidis serogrupo B,2013,Vaccimonitor,,SciELO,1
S9915,Characterization of bacteriophages infecting clinical isolates of Pseudomonas aeruginosa stored in a culture collection,2013,Brazilian Journal of Medical and Biological Research,doi:10.1590/1414-431x20132796,SciELO,1
S9920,"Detección de protozoos parásitos entéricos, bacteriófagos de E. coli y organismos indicadores de contaminación en camarones comercializados en el estado Zulia",2013,Kasmera,,SciELO,1
S9918,"Efficacy of bacterin-, outer membrane protein- and fimbriae extract-based vaccines for the control of Salmonella Enteritidis experimental infection in chickens",2013,Pesquisa Veterinária Brasileira,,SciELO,1
S9921,Impact of solar irradiation on cholera toxin secretion by different strains of Vibrio cholerae,2013,South African Journal of Science,,SciELO,1
S9917,"NEMATOFAUNA ASOCIADA A ECOSISTEMAS DE GUADUA (Guadua angustifolia Kunth) Y BOSQUE SECUNDARIO EN SANTÁGUEDA, PALESTINA, CALDAS",2013,Boletín Científico. Centro de Museos. Museo de Historia Natural,,SciELO,1
S9914,"TSST-1, enterotoxin and bacteriocin-like substance production by Staphylococcus aureus isolated from foods",2013,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,,SciELO,1
S9919,The efficiency of concentration methods used to detect enteric viruses in anaerobically digested sludge,2013,Memórias do Instituto Oswaldo Cruz,,SciELO,1
S9906,A note on stability in food matrices of Salmonella enterica serovar Enteritidis-controlling bacteriophages,2014,Electronic Journal of Biotechnology,doi:10.1016/j.ejbt.2014.06.001,SciELO,1
S9904,Bacteriophage cocktail reduces Salmonella enterica serovar Enteritidis counts in raw and smoked salmon tissues,2014,Revista argentina de microbiología,,SciELO,1
S9911,Control of Listeria monocytogenes growth in soft cheeses by bacteriophage P100,2014,Brazilian Journal of Microbiology,,SciELO,1
S9905,"Effects of Lactobacillus Probiotic, P22 Bacteriophage and Salmonella Typhimurium on the Heterophilic Burst Activity of Broiler Chickens",2014,Brazilian Journal of Poultry Science,doi:10.1590/1516-635x1603257-264,SciELO,1
S9907,Fagoterapia frente a infecciones por Staphylococcus aureus meticilino resistente en ratones,2014,Revista Peruana de Medicina Experimental y Salud Pública,,SciELO,2
S9908,Influence of mineral fertilization on edaphic fauna in Acacia auriculiformis (A. Cunn) plantations,2014,Revista Brasileira de Ciência do Solo,,SciELO,1
S9910,Lytic bacteriophages in Veterinary Medicine: a therapeutic option against bacterial pathogens?,2014,Archivos de medicina veterinaria,,SciELO,1
S9912,Nanobiotechnology for medical diagnostics,2014,Revista mexicana de ingeniería química,,SciELO,1
S9909,"Protección, función hepática y respuesta inmune humoral de ovinos vacunados con mimotopos de catepsina L1 y L2 infectados experimentalmente con Fasciola hepatica",2014,Archivos de medicina veterinaria,,SciELO,1
S9896,Assessment of indicators of fecal contamination in soils treated with biosolids for growing grasses,2015,Universitas Scientiarum,doi:10.11144/javeriana.sc20-2.aifc,SciELO,1
S9900,"El bacteriófago, cien años de hallazgos trascendentales",2015,Biomédica,,SciELO,1
S9893,El desafío de controlar las enfermedades transmitidas por alimentos: bacteriófagos como una nueva herramienta biotecnológica,2015,Revista chilena de infectología,,SciELO,1
S9899,Empleo de bacteriófagos frente a Salmonella enteritidis como herramienta de prevención,2015,Nutrición Hospitalaria,doi:10.3305/nh.2015.31.6.8975,SciELO,1
S1911,Evaluation of Phage Therapy for the Treatment of Escherichia Coli and Pseudomonas Aeruginosa Wound Infections in Burned Patients,2015,,nct:NCT02116010,ClinicalTrials.gov,1
S9902,"Fagoterapia, alternativa para el control de las infecciones bacterianas. Perspectivas en Colombia",2015,Universitas Scientiarum,doi:10.11144/javeriana.sc20-1.faci,SciELO,1
S9903,Identificación de nuevos péptidos de una biblioteca de despliegue en fagos con un anticuerpo monoclonal específico a la proteína N del virus PRRS,2015,Archivos de medicina veterinaria,,SciELO,1
S9892,In-Vitro Adhesion and Invasion Properties of Salmonella Typhimurium Competing with Bacteriophage in Epithelial Cells and Chicken Macrophages,2015,Brazilian Journal of Poultry Science,doi:10.1590/1516-635x1704427-432,SciELO,1
S9895,Isolation of Dickeya dadantii strains from potato disease and biocontrol by their bacteriophages,2015,Brazilian Journal of Microbiology,doi:10.1590/s1517-838246320140498,SciELO,1
S9898,Metodología rápida y sencilla para la determinación de colifagos somáticos como indicadores de contaminación fecal en una planta de tratamiento de agua localizada al noreste colombiano,2015,Universidad y Salud,,SciELO,1
S9575,Molecular Biosensors for Detection of Bladder Cancer,2015,,nct:NCT02957370,ClinicalTrials.gov,1
S9894,"NEMATODOS EDÁFICOS EN VERDURAS Y FRUTAS PROVENIENTES DEL CINTURÓN FRUTI-HORTÍCOLA DEL PARTIDO DE GENERAL PUEYRREDON, PROVINCIA DE BUENOS AIRES",2015,Ciencia del suelo,,SciELO,1
S9901,Sobrevivencia de las fases preparasíticas de nematodos gastrointestinales en bocashi elaborado con estiércol vacuno,2015,Agronomía Mesoamericana,,SciELO,1
S9897,"Theranostic applications of phage display to control leishmaniasis: selection of biomarkers for serodiagnostics, vaccination, and immunotherapy",2015,Revista da Sociedade Brasileira de Medicina Tropical,doi:10.1590/0037-8682-0096-2015,SciELO,1
S0433,"""Blind"" targeting in action: From phage display to breast cancer cell targeting with peptide-gold nanoconjugates.",2016,Pharmacological research,doi:10.1016/j.phrs.2016.06.007 pmid:27293049,PubMed,1
S0204,"""Nanofiltration"" Enabled by Super-Absorbent Polymer Beads for Concentrating Microorganisms in Water Samples.",2016,Scientific reports,doi:10.1038/srep20516 pmid:26876979,PubMed,1
S16615,'Get in early'; Biofilm and wax moth (Galleria mellonella) models reveal new insights into the therapeutic potential of Clostridium difficile bacteriophages,2016,Frontiers in Microbiology,doi:10.3389/fmicb.2016.01383,Scopus (brazo B),1
S0501,"(68)Ga-labeled phage-display selected peptides as tracers for positron emission tomography imaging of Staphylococcus aureus biofilm-associated infections: Selection, radiolabelling and preliminary biological evaluation.",2016,Nuclear medicine and biology,doi:10.1016/j.nucmedbio.2016.07.002 pmid:27474962,PubMed,1
S0368,A Bacillus megaterium System for the Production of Recombinant Proteins and Protein Complexes.,2016,Advances in experimental medicine and biology,doi:10.1007/978-3-319-27216-0_7 pmid:27165321,PubMed,1
S0328,A Bacteriophage-Acquired O-Antigen Polymerase (Wzyβ) from P. aeruginosa Serotype O16 Performs a Varied Mechanism Compared to Its Cognate Wzyα.,2016,Frontiers in microbiology,doi:10.3389/fmicb.2016.00393 pmid:27065964,PubMed; Scopus (brazo A),2
S0053,A Comparison of Biological Activity of B Lymphocyte Stimulator (BLyS) Antagonist Peptibodies and the Elucidation of Possible BLyS Binding Sites.,2016,Protein and peptide letters,doi:10.2174/0929866522666151026122347 pmid:26497318,PubMed,1
S0393,A DsbA-Deficient Periplasm Enables Functional Display of a Protein with Redox-Sensitive Folding on M13 Phage.,2016,Biochemistry,doi:10.1021/acs.biochem.6b00392 pmid:27210801,PubMed,1
S0185,A Dual Target-directed Agent against Interleukin-6 Receptor and Tumor Necrosis Factor α ameliorates experimental arthritis.,2016,Scientific reports,doi:10.1038/srep20150 pmid:26841833,PubMed,1
S0596,A Highly Sensitive Assay Using Synthetic Blood Containing Test Microbes for Evaluation of the Penetration Resistance of Protective Clothing Material under Applied Pressure.,2016,Biocontrol science,doi:10.4265/bio.21.141 pmid:27667519,PubMed,1
