N°,Documento,Año,P – Población (humanos hospitalizados),I – Intervención (fagoterapia real),S – Diseño (incluible),Antigüedad (≤5 años),Decisión final,Evidencia textual de respaldo,Notas,Origen de la cepa bacteriana (solo si P=No cumple),¿Es P. aeruginosa específicamente?
16,"Duplessis et al. 2021 - tratamiento intratraqueal fago+antibiotico, Modelo Murino",2021,No cumple: raton BALB/cJ,Cumple,Cumple,Cumple,EXCLUIDO,"""Modelo Murino"" explicito en titulo.",Modelo animal.,"CLÍNICO: ""coleccion de aislados clinicos"" (EOP assays) — pero el ensayo de eficacia se hizo en ratonas BALB/cJ.",Sí
17,"Eficacia y tolerabilidad de un coctel de bacteriofagos (PhagoBurn, Jault)",2018,Cumple: pacientes quemados humanos,Cumple: coctel 12 fagos,Cumple: ECA fase 1/2 doble ciego,CUMPLE -- ver nota sobre ambiguedad de año,INCLUIDO,"""Los pacientes eran elegibles si tenian 18 anios o mas y presentaban una herida por quemadura clinicamente infectada""","CANDIDATO PARA EXTRACCION DE DATOS. Mejor diseno del corpus (ECA fase 1/2). AMBIGUEDAD DE FECHA: publicado en linea el 3-oct-2018, pero la cita formal de la revista es 'Lancet Infect Dis 2019;19:35-45' (año de volumen/cita = 2019). Se usa el año de cita (convencion bibliografica estandar) para el corte desde 2019 -> INCLUIDO. Si prefieres usar la fecha de publicacion en linea (2018), este estudio quedaria EXCLUIDO. DUPLICADO exacto de item 27 (Jault et al 2019) -- no contar dos veces.","N/A — paciente tratado directamente, no aplica distinción de origen de cepa.",Sí
18,Feng et al. 2026 - fago P7869 y endolisina Lys7869,2026,No cumple: in vitro,No cumple: endolisina aislada,Cumple,Cumple,EXCLUIDO,Caracterizacion de endolisina purificada.,Doble exclusion.,No verificado en esta ronda — revisar manualmente si es relevante.,Sí
19,Fiscarelli et al. 2021 - fagos ambientales in vitro vs biofilms FQ,2021,No cumple: In Vitro explicito,Cumple,Cumple,Cumple,EXCLUIDO,"Titulo ""In Vitro"".","Aislados de FQ, ensayo en laboratorio.",CLÍNICO: aislados de pacientes con fibrosis quística — pero el ensayo fue explícitamente in vitro.,Sí
20,Ghanaim et al. 2023 - fagoterapia vs MDR en pie diabetico,2023,No cumple: 45 ratas Sprague-Dawley,Cumple,Cumple,Cumple,EXCLUIDO,"""Cuarenta y cinco ratas Sprague-Dawley macho adultas fueron asignadas en 3 grupos"".","Cepas de origen humano, tratamiento en rata.","CLÍNICO: ""aisladas de pacientes e individuos sanos"" — pero el ensayo de eficacia se hizo en ratas.","Parcial — P. aeruginosa es uno de varios organismos probados (junto a S. aureus, Enterobacter, Klebsiella, Proteus, E. coli)"
21,Ghatbale et al. 2025 - evolucion experimental de fagos vs Klebsiella,2025,"No cumple: organismo diana es Klebsiella, no P. aeruginosa",No aplica a P. aeruginosa,Cumple (diseno primario),Cumple,EXCLUIDO,Estudio centrado en fagos contra K. pneumoniae.,Fuera de alcance por organismo.,"No aplica la distinción: organismo diana es Klebsiella pneumoniae, no P. aeruginosa — independientemente del origen de la cepa, está fuera de alcance por especie.",No — organismo diana es Klebsiella pneumoniae
22,Hamidniya et al. 2025 - infecciones respiratorias en quemados durante COVID-19 (Revision),2025,N/A,No cumple: no es fagoterapia especificamente,No cumple: REVISION explicito,Cumple,EXCLUIDO,"Encabezado ""REVISION""; enfoque en coinfeccion viral-bacteriana.",No es sobre fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — S. aureus y P. aeruginosa como coinfecciones en quemados con COVID-19, no exclusivo"
23,Harada et al. 2021 - biosensor basado en bacteriofagos,2021,N/A,"No cumple: uso diagnostico (biosensor), no terapeutico",Cumple (diseno primario),Cumple,EXCLUIDO,"""Biosensado Basado en Bacteriofagos... Deteccion Putativa en Tiempo Real"".","Aplicacion diagnostica, no terapia.","N/A — excluido por otro criterio (I/S), no por Población.",Sí
24,"Hernandez-Garcia et al. 2024 - diseminacion clonal NDM-1 ST773, pacientes ucranianos",2024,"9 pacientes humanos, pero sin intervencion con fagos","No cumple: WGS/epidemiologia, analiza contenido de profagos en el genoma",N/A,Cumple,EXCLUIDO,"""Secuenciacion de genoma completo... para analizar... el resistoma y el contenido de profagos"".",No administra fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
25,Heselpoth et al. 2025 - lysocins de segunda generacion,2025,No cumple: modelo murino neutropenico,"No cumple: lysocin, constructo proteico (piocina+lisina)",Cumple,Cumple,EXCLUIDO,"""una dosis unica de lysocin fue protectora... en un modelo murino neutropenico de infeccion pulmonar"".",Doble exclusion (I y P).,"MIXTO: PAO1 (mecanismo) + panel de ""95% de los aislados clinicos multirresistentes"" (eficacia) — ensayo en ratón neutropénico.",Sí
26,horcajada et al. 2019 - epidemiologia y tratamiento de MDR/XDR Pseudomonas (Revision),2019,N/A,No claramente centrado en fagoterapia,No cumple: REVISION explicito,Cumple (2019),EXCLUIDO,"Encabezado ""REVISION"".",Excluido unicamente por Diseno (revision) tras ampliar el corte de antiguedad a 2019.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
28,Jiang et al. 2026 - fago CRPAP1904 vs P. aeruginosa ST1971,2026,No cumple: sin componente in vivo/clinico evidente,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"""In vitro, el fago suprime significativamente el crecimiento bacteriano del hospedador""; sin mencion de paciente o animal.",Caracterizacion in vitro.,"CLÍNICO: ""aislada en un hospital de Fujian, China"" (cepa ST1971 CRPA190) — ensayo in vitro.",Sí
29,Johri et al. 2021 - Reporte de Caso prostatitis bacteriana cronica tratada con fagoterapia,2021,Cumple: 1 paciente humano real,No aplica a P. aeruginosa: patogenos tratados fueron Staphylococcus/MRSA,Cumple: reporte de caso,"No cumple (jun-2021, limite 5a es jul-2021)",EXCLUIDO,"P. aeruginosa solo se menciona en el listado general de fondo (""...y Pseudomonas aeruginosa, entre otros""); el patogeno realmente tratado en el caso fue Staphylococcus (MRSA).",Excluido por organismo Y por antiguedad (por ~5 semanas).,"N/A — excluido por otro criterio (I/S), no por Población.",No — el patógeno realmente tratado en el caso fue Staphylococcus/MRSA; P. aeruginosa solo aparece en el listado de fondo
30,Khan et al. 2025 - bilis modula interaccion fago-hospedador,2025,No cumple: mutagenesis y ensayos in vitro,"No cumple: estudio mecanistico de susceptibilidad, no terapia",Cumple,Cumple,EXCLUIDO,"""La mutagenesis a nivel de genoma completo identifico mutaciones que confieren resistencia"".","Estudio mecanistico, no de intervencion.","Posible clínico: se menciona ""un aislado clinico de Pseudomonas aeruginosa"" en el texto, pero no se confirma con certeza que sea la cepa ZS-PA-35 usada en el estudio. Requiere verificación adicional si se va a citar.",Sí
31,Kovacs et al. 2024 - combinaciones de fagos vs MDR + carbapenem,2024,No cumple: in vitro (aislados clinicos en laboratorio),Cumple,Cumple,Cumple,EXCLUIDO,"""la coadministracion de cada fago con los antibioticos carbapenemicos... genero una eliminacion bacteriana global mejorada"" en ensayos de laboratorio.",Sin componente animal/humano.,"Colección/referencia: cepa PAO1 y derivados (PaPC1, PaWP1, PaWP2).",Sí
32,Kunz Coyne et al. 2022 - Estrategias Terapeuticas para MDR/XDR (Revision),2022,N/A,No claramente centrado en fagoterapia (agentes antibioticos),No cumple: REVISION explicito,Cumple,EXCLUIDO,"Encabezado ""REVISION""; centrado en beta-lactamicos/cefiderocol.",No es especificamente sobre fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
33,Lerdsittikul et al. 2022 - fago Litunavirus VL1,2022,No cumple: Galleria mellonella + aislados de animales de compania,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"""larvas de Galleria mellonella infectadas con P. aeruginosa MDR""; cepas de origen veterinario.",Modelo invertebrado + contexto veterinario.,"VETERINARIO, no humano: ""aisladas de enfermedades en animales de compania"" — ensayo en Galleria mellonella.",Sí
34,"Lin et al. 2025 - sinergia fago-antibiotico, modelo Pez Cebra",2025,No cumple: Pez Cebra Model explicito,Cumple,Cumple,Cumple,EXCLUIDO,"Titulo ""Modelo de Pez Cebra de Infeccion por Pseudomonas aeruginosa"".",Modelo animal.,No especificado con claridad en el texto disponible.,Sí
35,"Loh et al. 2021 - genomas completos de 4 fagos (Kaya, Guyu, Kopi, TehO)",2021,"No cumple: sin ensayo de eficacia, solo reporte de secuencia","No cumple: solo secuenciacion genomica, sin evaluacion terapeutica",N/A (anuncio de genoma),Cumple,EXCLUIDO,"""Reportamos el aislamiento y las secuencias de genoma completo de cuatro bacteriofagos liticos"".","Anuncio de genoma, no estudio de eficacia.",No verificado en esta ronda — revisar manualmente si es relevante.,Sí
36,Long et al. 2022 - RecT y estilo de vida de profago,2022,N/A,"No cumple: estudio mecanistico de genetica de profagos, no terapia",Cumple (diseno primario),Cumple,EXCLUIDO,"""estudio sistematico de una recombinasa hipotetica... ubicada en un profago putativo"".","Biologia molecular, no fagoterapia.","N/A — excluido por otro criterio (I/S), no por Población.",Sí
37,Lopez-Perez et al. 2021 - caracterizacion genomica resistencia a imipenem/relebactam,2021,"40 cepas clinicas, sin intervencion","No cumple: analisis genomico de resistencia, sin fagos administrados",N/A,Cumple,EXCLUIDO,Comparacion genomica de cepas con distinta sensibilidad a antibioticos.,No es fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
38,"Ma et al. 2025 - fago vB_PaeP_PZH3, modelo de herida en raton",2025,No cumple: modelo de herida en raton,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"Titulo ""en un modelo de infeccion de herida en raton"".",Modelo animal.,"CLÍNICO mencionado (""aislados clinicos de pacientes con fibrosis quistica"" en el panel de cepas) — pero el ensayo de eficacia se hizo en un modelo de herida en ratón; no está confirmado si es la misma cepa.",Sí
39,"Marashi et al. 2022 - fagos vs XDR de heridas septicas por quemadura, in vitro",2022,No cumple: In Vitro Evaluation explicito,Cumple,Cumple,Cumple,EXCLUIDO,"Titulo ""Evaluacion In Vitro de Bacteriofagos Especificos"".","Cepas de pacientes quemados, ensayo en laboratorio.","CLÍNICO: ""aisladas de diversas muestras clinicas en un hospital de tercer nivel, sur de Odisha, India"".",Sí
40,Marino et al. 2025 - Fago contra ESKAPE (Revision Clinica Integral),2025,N/A,Aborda fagoterapia narrativamente,No cumple: revision explicita,Cumple,EXCLUIDO,"""Esta revision integral evalua el potencial resurgente de la fagoterapia"".",DUPLICADO EXACTO (mismo archivo binario) del item 52.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — cubre los 6 patógenos ESKAPE; P. aeruginosa es uno de ellos, no el foco exclusivo"
41,Martinho et al. 2024 - fagos phPA-G y phPA-Intesti vs planctonicas y biofilm,2024,No cumple: ensayos en medio de cultivo y en orina simulada (in vitro),Cumple,Cumple,Cumple,EXCLUIDO,"""Experimentos preliminares en medio de cultivo""; reduccion en biofilm ""en orina"" (matriz simulada, no paciente).",Sin paciente real.,Colección/referencia: ATCC (American Type Culture Collection).,Sí
42,Mehmood y Hajj 2025 - CRPA amenaza emergente en pacientes quirurgicos/oncologicos (Carta al Editor),2025,N/A,"No cumple: fagoterapia solo mencionada como direccion futura, no estudiada","No cumple: Carta al Editor, no estudio primario",Cumple,EXCLUIDO,"""Deberian explorarse nuevas estrategias terapeuticas, incluyendo... enfoques basados en fagos"" (prospectivo, no realizado).","Carta editorial, no investigacion original.","N/A — excluido por otro criterio (I/S), no por Población.",Sí
43,"Mohamed et al. 2025 - fago vB_Ps_ZCPS13 vs Pan-drug-resistant, ITU y cateteres",2025,No cumple: TEM/PFGE/SEM in vitro y citotoxicidad en lineas celulares,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"""actividad antibiofilm en cateteres urinarios mediante SEM, y ensayos de citotoxicidad en lineas celulares de fibroblastos de piel humana normal"" (ambos en laboratorio).","Cateteres y celulas en laboratorio, no paciente real.","No confirmado con certeza: el texto menciona ""aisladas de pacientes quemados en Teheran, Iran"", pero por el contexto (el estudio es sobre infección urinaria) podría ser una cita de otro estudio y no la cepa propia. Verificar antes de citar.",Sí
44,Mulani et al. 2019 - Estrategias Emergentes vs ESKAPE (Revision),2019,N/A,"No cumple: revision de multiples terapias, no solo fagos",No cumple: A Revision explicita,Cumple (2019),EXCLUIDO,"Titulo ""Una Revision"".","Doble exclusion (I, S) tras ampliar el corte de antiguedad a 2019.","N/A — excluido por otro criterio (I/S), no por Población.","Parcial — cubre los 6 patógenos ESKAPE; P. aeruginosa es uno de ellos, no el foco exclusivo"
45,Mulani et al. 2022 - fago Klebsiella PG14,2022,"No cumple: organismo diana es Klebsiella, no P. aeruginosa; ensayos in vitro",No aplica a P. aeruginosa,Cumple (diseno primario),Cumple,EXCLUIDO,"""aislamos, caracterizamos y secuenciamos un fago de Klebsiella, PG14"".",Fuera de alcance por organismo.,"No aplica la distinción: organismo diana es Klebsiella pneumoniae, no P. aeruginosa — independientemente del origen de la cepa, está fuera de alcance por especie.",No — organismo diana es Klebsiella pneumoniae
46,Muteeb et al. 2025 - RAM: mecanismos moleculares e impacto en salud publica,2025,N/A,No cumple: no menciona fagoterapia,No cumple: revision amplia de RAM,Cumple,EXCLUIDO,Revision de mecanismos de resistencia y vigilancia epidemiologica.,No es sobre fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.",Parcial — revisión general de resistencia antimicrobiana; P. aeruginosa es un ejemplo entre varios
47,Namonyo et al. 2022 - fagos vs cepas clinicas australianas,2022,No cumple: enriquecimiento y caracterizacion en laboratorio con cepas aisladas,Cumple,Cumple,Cumple,EXCLUIDO,"""se enriquecio lodo activado con fagos usando las cepas clinicas"" (proceso de laboratorio).","Aislados de pacientes, ensayo en laboratorio.","MIXTO: cepas clínicas ""de pacientes con fibrosis quistica, de sangre infectada y aspirado articular"" + PAO1 como referencia.",Sí
48,Nazari y Shokoohizadeh 2026 - Manejo de Infecciones de Pie Diabetico con Fagoterapia (Revision),2026,N/A,Aborda fagoterapia narrativamente,No cumple: REVISION explicito,Cumple,EXCLUIDO,"""Esta revision evalua criticamente la evidencia actual de fagoterapia en infecciones de pie diabetico"".",Revision; menciona series clinicas pequenas que podrian buscarse como fuentes primarias.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — cubre 6 patógenos en pie diabético (S. aureus, P. aeruginosa, K. pneumoniae, A. baumannii, E. coli, Enterococcus)"
49,"Nguyen et al. 2026 - caracterizacion genomica XDR ST1971, paciente vietnamita",2026,"1 paciente humano (ITU), sin intervencion evaluada","No cumple: WGS de resistencia, no fagoterapia",N/A (short communication),Cumple,EXCLUIDO,"""una cepa de P. aeruginosa resistente a carbapenemicos y colistina... fue aislada de un paciente de 86 anios"".","Caracterizacion genomica, no terapia.","N/A — excluido por otro criterio (I/S), no por Población.",Sí
50,Parit et al. 2026 - P. aeruginosa en Neumonia Asociada a Ventilacion (Revision Integral),2026,N/A,No cumple: no centrado en fagoterapia,No cumple: Revision explicita,Cumple,EXCLUIDO,"""Esta revision ofrece un analisis integral de la epidemiologia, patogenesis y mecanismos de resistencia"".",Revision sobre VAP en general.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
51,Fagoterapia inhalada personalizada para P. aeruginosa MDR en fibrosis quistica,2025,CUMPLE: 9 pacientes adultos con fibrosis quistica reales,CUMPLE: fagoterapia nebulizada (coctel o monofago) administrada clinicamente,"CUMPLE: serie de casos prospectiva con analisis estadistico (ANOVA, Wilcoxon)",CUMPLE (2025),INCLUIDO,"""nueve adultos con fibrosis quistica... fueron tratados con fagos por uso compasivo porque su curso clinico se complico por Pseudomonas multirresistente o panresistente"". Publicado en Nature Medicine.","CANDIDATO FUERTE PARA EXTRACCION DE DATOS. n=9, resultados cuantitativos (reduccion de CFU, mejora de FEV1) listos para extraer.","N/A — paciente tratado directamente, no aplica distinción de origen de cepa.",Sí
52,Fago contra ESKAPE: Personalizando la Terapia para MDR (=Marino et al. 2025),2025,Ver item 40,Ver item 40,Ver item 40,Cumple,EXCLUIDO (duplicado de #40),Archivo binario identico (140522 bytes) al item 40.,DUPLICADO EXACTO confirmado por hash de archivo.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — mismo alcance que ítem 40 (ESKAPE, 6 patógenos)"
53,Fagoterapia: una modalidad de tratamiento alternativa para infecciones bacterianas MDR (Pal et al. 2024),2024,N/A,Aborda fagoterapia narrativamente,No cumple: ARTICULO DE REVISION explicito,Cumple,EXCLUIDO,"Encabezado ""ARTICULO DE REVISION"".",Revision general.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — infecciones bacterianas MDR en general (ESKAPEE), no exclusivo a P. aeruginosa"
54,Pinto et al. 2021 - PAO1 Cinetica de Muerte Bacteriana In Vitro,2021,No cumple: In Vitro explicito,Cumple,Cumple,Cumple,EXCLUIDO,"Titulo ""Cinetica de Muerte Bacteriana In Vitro"".",Ensayo de laboratorio.,Colección/referencia: exclusivamente PAO1 (explícito en el título).,Sí
55,Repizo et al. 2020 - Acinetobacter baumannii NCIMB8209,2020,"No cumple: organismo es A. baumannii, no P. aeruginosa",No aplica,"No cumple: caracterizacion genomica, no fagoterapia",Cumple (2020),EXCLUIDO,"Cepa ambiental de 1943, estudio genomico.","Excluido unicamente por organismo equivocado (Acinetobacter, no Pseudomonas) tras ampliar el corte de antiguedad a 2019.","No aplica la distinción: organismo diana es Acinetobacter baumannii, no P. aeruginosa — cepa ambiental histórica de 1943, y de todos modos fuera de alcance por especie.",No — organismo diana es Acinetobacter baumannii
56,Rodriguez-Recio et al. 2025 - fagos nativos M8-2 y M8-3,2025,"No cumple: caracterizacion en laboratorio (NGS, SDS-PAGE, titulacion viral)",Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"Aislados de aguas residuales, sin ensayo animal/clinico.",Caracterizacion in vitro.,Colección/referencia: ATCC.,Sí
57,Samir et al. 2022 - fagos liticos de aguas residuales vs MRSA,2022,"No cumple: organismo es S. aureus (MRSA), no P. aeruginosa; ademas in vitro",No aplica a P. aeruginosa,Cumple (diseno primario),Cumple,EXCLUIDO,"""bacteriofagos liticos de aguas residuales... contra aislados clinicos de Staphylococcus aureus resistente a meticilina"".",Organismo equivocado. Nota: version anterior de la hoja de cribado confundia esto con P. aeruginosa; se corrige aqui.,"CLÍNICO (""aisladas de diferentes muestras clinicas"" en hospital TBRI) + ATCC de referencia — pero organismo equivocado (MRSA/S. aureus, no P. aeruginosa).",No — organismo diana es Staphylococcus aureus (MRSA)
58,Santamaria-Corral et al. 2024 - nuevo fago vB_PaeP-F1Pa,2024,No cumple: caracterizacion in vitro (fenotipica y genomica),Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"""muestra buenos resultados in vitro, lo que indica que es muy importante realizar un analisis genomico antes de cualquier uso clinico"" (fase preclinica).","Explicitamente preclinico, previo a cualquier uso en pacientes.",Colección/referencia: ATCC y PAO1.,Sí
59,"Sawant et al. 2026 - patogenesis, epidemiologia, mecanismos y respuesta del huesped (revision de alcance)",2026,N/A,No claramente centrado en fagoterapia,No cumple: revision de alcance confirmado,Cumple,EXCLUIDO,"Metodologia declarada como ""revision de alcance"".",Alcance amplio tipo revision.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
60,Shafigh Kheljan et al. 2023 - hidrogel con coctel de fagos,2023,No cumple: modelo de herida en raton (in vitro + in vivo),Cumple: coctel de fagos completo,Cumple,Cumple,EXCLUIDO,"""investigado in vitro e in vivo usando un modelo experimental de infeccion de herida en raton"".",Modelo animal.,Colección/referencia: ATCC y PAO1 — ensayo en ratón.,Sí
61,Shen et al. 2026 - piocinas tipo R y F vs cepas clinicas,2026,No cumple: 109 aislados analizados en laboratorio,"No cumple: piocinas son bacteriocinas tipo cola de fago, NO son bacteriofagos",Cumple (diseno primario),Cumple,EXCLUIDO,"""las piocinas tipo R y F son bacteriocinas similares a la cola de un fago"".",No es fagoterapia; mecanismo distinto.,No verificado en esta ronda — revisar manualmente si es relevante.,Sí
62,Shi et al. 2024 - fago Phage_Pae01 de amplio espectro,2024,No cumple: in vitro confirmado explicitamente,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"""destruye biofilms de P. aeruginosa in vitro""; ""cinetica de lisis de Phage_Pae01 in vitro"".",Sin componente animal/clinico.,"CLÍNICO: cepa huésped Pa021, ""aislado clinico del norte de India"".",Sí
63,Tan et al. 2025 - fago PUTH1,2025,"No cumple: caracterizacion en laboratorio (TEM, WGS, biofilm)",Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"Aislado de aguas residuales hospitalarias, sin ensayo animal/clinico.",Caracterizacion in vitro.,No especificado con claridad en el texto disponible.,Sí
