pmid,year,first_author,title,abstract,journal,pubtypes,mesh,doi,arms,fetch_status,stage1,stage1_rule
26010471,2016,Yoo SY,M13 Bacteriophage and Adeno-Associated Virus Hybrid for Novel Tissue Engineering Material with Gene Delivery Functions.,,Advanced healthcare materials,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Amino Acid Sequence; Animals; Bacteriophage M13; Dependovirus; Gene Transfer Techniques; Green Fluorescent Proteins; HeLa Cells; Humans; Mice; Molecular Sequence Data; Peptides; Tissue Engineering,10.1002/adhm.201500179,B_no_organism_block,ok,ADVANCE,
26036698,2016,Melidoni AN,Selection of Antibodies Interfering with Cell Surface Receptor Signaling Using Embryonic Stem Cell Differentiation.,"Antibodies able to bind and modify the function of cell surface signaling components in vivo are increasingly being used as therapeutic drugs. The identification of such ""functional"" antibodies from within large antibody pools is, therefore, the subject of intense research. Here we describe a novel cell-based expression and reporting system for the identification of functional antibodies from antigen-binding populations preselected with phage display. The system involves inducible expression of the antibody gene population from the Rosa-26 locus of embryonic stem (ES) cells, followed by secretion of the antibodies during ES cell differentiation. Target antigens are cell-surface signaling components (receptors or ligands) with a known effect on the direction of cell differentiation (FGFR1 mediating ES cell exit from self renewal in this particular protocol). Therefore, inhibition or activation of these components by functional antibodies in a few elite clones causes a shift in the differentiation outcomes of these clones, leading to their phenotypic selection. Functional antibody genes are then recovered from positive clones and used to produce the purified antibodies, which can be tested for their ability to affect cell fates exogenously. Identified functional antibody genes can be further introduced in different stem cell types. Inducible expression of functional antibodies has a temporally controlled protein-knockdown capability, which can be used to study the unknown role of the signaling pathway in different developmental contexts. Moreover, it provides a means for control of stem cell differentiation with potential in vivo applications.","Methods in molecular biology (Clifton, N.J.)",Journal Article,"Animals; Antibodies; Cell Culture Techniques; Cell Differentiation; Cell Line; Cells, Cultured; Cloning, Molecular; Embryonic Stem Cells; Humans; Mice; Peptide Library; Receptors, Cell Surface; Signal Transduction; Transfection",10.1007/7651_2015_270,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
26036920,2016,Wang J,Phage-bacteria interaction network in human oral microbiome.,"Although increasing knowledge suggests that bacteriophages play important roles in regulating microbial ecosystems, phage-bacteria interaction in human oral cavities remains less understood. Here we performed a metagenomic analysis to explore the composition and variation of oral dsDNA phage populations and potential phage-bacteria interaction. A total of 1,711 contigs assembled with more than 100 Gb shotgun sequencing data were annotated to 104 phages based on their best BLAST matches against the NR database. Bray-Curtis dissimilarities demonstrated that both phage and bacterial composition are highly diverse between periodontally healthy samples but show a trend towards homogenization in diseased gingivae samples. Significantly, according to the CRISPR arrays that record infection relationship between bacteria and phage, we found certain oral phages were able to invade other bacteria besides their putative bacterial hosts. These cross-infective phages were positively correlated with commensal bacteria while were negatively correlated with major periodontal pathogens, suggesting possible connection between these phages and microbial community structure in oral cavities. By characterizing phage-bacteria interaction as networks rather than exclusively pairwise predator-prey relationships, our study provides the first insight into the participation of cross-infective phages in forming human oral microbiota.",Environmental microbiology,Journal Article,Bacteria; Bacteriophages; Humans; Microbiota; Mouth; Phylogeny,10.1111/1462-2920.12923,B_no_organism_block,ok,ADVANCE,
26041509,2016,Launders N,A large Great Britain-wide outbreak of STEC O157 phage type 8 linked to handling of raw leeks and potatoes.,"Between December 2010 and July 2011, 252 cases of STEC O157 PT8 stx1 + 2 infection were reported in England, Scotland and Wales. This was the largest outbreak of STEC reported in England and the second largest in the UK to date. Eighty cases were hospitalized, with two cases of haemolytic uraemic syndrome and one death reported. Routine investigative data were used to generate a hypothesis but the subsequent case-control study was inconclusive. A second, more detailed, hypothesis generation exercise identified consumption or handling of vegetables as a potential mode of transmission. A second case-control study demonstrated that cases were more likely than controls to live in households whose members handled or prepared leeks bought unwrapped [odds ratio (OR) 40, 95% confidence interval (CI) 2·08-769·4], and potatoes bought in sacks (OR 13·13, 95% CI 1·19-145·3). This appears to be the first outbreak of STEC O157 infection linked to the handling of leeks.",Epidemiology and infection,Journal Article,"Adolescent; Adult; Aged; Aged, 80 and over; Case-Control Studies; Child; Child, Preschool; Disease Outbreaks; Electrophoresis, Gel, Pulsed-Field; England; Escherichia coli Infections; Escherichia coli O157; Female; Food Microbiology; Hemolytic-Uremic Syndrome; Humans; Infant; Infant, Newborn; Male; Middle Aged; Minisatellite Repeats; Multilocus Sequence Typing; Onions; Scotland; Solanum tuberosum; Wales; Young Adult",10.1017/S0950268815001016,B_no_organism_block,ok,ADVANCE,
26042353,2016,Pérez Pulido R,Application of bacteriophages in post-harvest control of human pathogenic and food spoiling bacteria.,"Bacteriophages have attracted great attention for application in food biopreservation. Lytic bacteriophages specific for human pathogenic bacteria can be isolated from natural sources such as animal feces or industrial wastes where the target bacteria inhabit. Lytic bacteriophages have been tested in different food systems for inactivation of main food-borne pathogens including Listeria monocytogenes, Staphylococcus aureus, Escherichia coli O157:H7, Salmonella enterica, Shigella spp., Campylobacter jejuni and Cronobacter sakazkii, and also for control of spoilage bacteria. Application of lytic bacteriophages could selectively control host populations of concern without interfering with the remaining food microbiota. Bacteriophages could also be applied for inactivation of bacteria attached to food contact surfaces or grown as biofilms. Bacteriophages may receive a generally recognized as safe status based on their lack of toxicity and other detrimental effects to human health. Phage preparations specific for L. monocytogenes, E. coli O157:H7 and S. enterica serotypes have been commercialized and approved for application in foods or as part of surface decontamination protocols. Phage endolysins have a broader host specificity compared to lytic bacteriophages. Cloned endolysins could be used as natural preservatives, singly or in combination with other antimicrobials such as bacteriocins.",Critical reviews in biotechnology,Journal Article; Review,Animals; Bacteria; Bacteriophages; Food Microbiology; Food Preservation; Foodborne Diseases; Humans,10.3109/07388551.2015.1049935,B_no_organism_block,ok,ADVANCE,
26066784,2016,Reynolds KA,The healthy workplace project: Reduced viral exposure in an office setting.,"Viral illnesses such as gastroenteritis and the common cold create a substantial burden in the workplace due to reduced productivity, increased absenteeism, and increased health care costs. Behaviors in the workplace contribute to the spread of human viruses via direct contact between hands, contaminated surfaces, and the mouth, eyes, and/or nose. This study assessed whether implementation of the Healthy Workplace Project (HWP) (providing hand sanitizers, disinfecting wipes, facial tissues, and use instructions) would reduce viral loads in an office setting of approximately 80 employees after seeding fomites and the hands of volunteer participants with an MS-2 phage tracer. The HWP significantly reduced viable phage detected on participants' hands, communal fomites, and personal fomites (p ≤ .010) in office environments and presents a cost-effective method for reducing the health and economic burden associated with viral illnesses in the workplace.",Archives of environmental & occupational health,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Equipment Contamination; Health Promotion; Humans; Occupational Exposure; Virus Diseases; Viruses; Workplace,10.1080/19338244.2015.1058234,B_no_organism_block,ok,ADVANCE,
26194708,2016,Halsey CR,Conjugative Transfer in Staphylococcus aureus.,"The acquisition of plasmids has led to a significant increase in antimicrobial resistance within the staphylococci. In order to study these plasmids effectively, one must be able move the plasmid DNA into genetically clean backgrounds. While the smaller staphylococcal class I (1-5 kb) and class II (10-30 kb) plasmids are readily transferred using bacteriophage transduction or electroporation, these methods are inefficient at moving the larger class III (30-60 kb) plasmids. This review describes methods to transfer class III plasmids via conjugative mobilization.","Methods in molecular biology (Clifton, N.J.)",Journal Article,"Cloning, Molecular; Conjugation, Genetic; DNA, Bacterial; Drug Resistance, Microbial; Humans; Plasmids; Staphylococcal Infections; Staphylococcus aureus",10.1007/7651_2015_276,B_no_organism_block,ok,ADVANCE,
26248343,2016,Milrot E,Virus-host interactions: insights from the replication cycle of the large Paramecium bursaria chlorella virus.,"The increasing interest in cytoplasmic factories generated by eukaryotic-infecting viruses stems from the realization that these highly ordered assemblies may contribute fundamental novel insights to the functional significance of order in cellular biology. Here, we report the formation process and structural features of the cytoplasmic factories of the large dsDNA virus Paramecium bursaria chlorella virus 1 (PBCV-1). By combining diverse imaging techniques, including scanning transmission electron microscopy tomography and focused ion beam technologies, we show that the architecture and mode of formation of PBCV-1 factories are significantly different from those generated by their evolutionary relatives Vaccinia and Mimivirus. Specifically, PBCV-1 factories consist of a network of single membrane bilayers acting as capsid templates in the central region, and viral genomes spread throughout the host cytoplasm but excluded from the membrane-containing sites. In sharp contrast, factories generated by Mimivirus have viral genomes in their core, with membrane biogenesis region located at their periphery. Yet, all viral factories appear to share structural features that are essential for their function. In addition, our studies support the notion that PBCV-1 infection, which was recently reported to result in significant pathological outcomes in humans and mice, proceeds through a bacteriophage-like infection pathway.",Cellular microbiology,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Animals; Host-Pathogen Interactions; Humans; Macromolecular Substances; Mice; Mimiviridae; Optical Imaging; Paramecium; Phycodnaviridae; Vaccinia virus; Virus Replication,10.1111/cmi.12486,B_no_organism_block,ok,ADVANCE,
26268854,2016,Lemieux AA,Genes Required for Free Phage Production are Essential for Pseudomonas aeruginosa Chronic Lung Infections.,"The opportunistic pathogen Pseudomonas aeruginosa causes chronic lung infection in patients with cystic fibrosis. The Liverpool Epidemic Strain LESB58 is highly resistant to antibiotics, transmissible, and associated with increased morbidity and mortality. Its genome contains 6 prophages and 5 genomic islands. We constructed a polymerase chain reaction (PCR)-based signature-tagged mutagenesis library of 9216 LESB58 mutants and screened the mutants in a rat model of chronic lung infection. A total of 162 mutants were identified as defective for in vivo maintenance, with 11 signature-tagged mutagenesis mutants having insertions in prophage and genomic island genes. Many of these mutants showed both diminished virulence and reduced phage production. Transcription profiling by quantitative PCR and RNA-Seq suggested that disruption of these prophages had a widespread trans-acting effect on the transcriptome. This study demonstrates that temperate phages play a pivotal role in the establishment of infection through modulation of bacterial host gene expression.",The Journal of infectious diseases,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Chronic Disease; Gene Expression Regulation, Bacterial; Genes, Bacterial; Genomic Islands; Lung Diseases; Mutation; Prophages; Pseudomonas Infections; Pseudomonas Phages; Rats; Transcriptome; Virus Replication",10.1093/infdis/jiv415,A_organism_first,ok,EXCLUDED,preclinical: MeSH Animals without Humans
26289852,2016,Zuo X,"Identification of a panel of complex autoantigens (LGALS3, PHB2, MUC1, and GK2) in combination with CA15-3 for the diagnosis of early-stage breast cancer.","Currently, there is no effective single antigen and there are only a very limited number of complex antigens for the diagnosis of early-stage breast cancer (BC). In this study, we used serological analysis of recombinant cDNA expression libraries (SEREX) in combination with phage display technology to screen complex autoantigens from the sera of BC patients. The cDNA expression library was constructed using tissue samples of three patients with BC at as early as stage T1N0M0. The serum samples of ten patients, including the three patients who provided tissue samples, as well as five healthy human subjects as controls were used to screen the library. All seven autoantigens were identified from the library by four rounds of screening and matched the existing genes after a blast search using NCBI-BLAST. Then, the expression conditions of the autoantibodies of the seven autoantigens and anti-CA15-3 in the sera from 100 BC patients and 50 healthy donors were examined by gray values. The data were analyzed by the area under the receiver operating characteristic (ROC) curve and logistic regression diagnostic models. In the end, a panel of complex autoantigens consisting of B11 (LGALS3), B18 (PHB2), B119 (MUC1), B130 (GK2), and CA15-3, which had a sensitivity of 87 % and a specificity of 76 %, were identified. The area under the curve (AUC) of the complex antigens was 0.872, which is significantly greater than that of anti-CA15-3 alone (AUC = 0.634) for the diagnosis of BC. Thus, this panel of complex antigens provides a promising strategy for the diagnosis of early-stage BC.",Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Journal Article,"Antigens, Neoplasm; Area Under Curve; Autoantibodies; Biomarkers, Tumor; Blood Proteins; Breast Neoplasms; Case-Control Studies; DNA, Complementary; Dipeptides; Early Detection of Cancer; Female; Galectin 3; Galectins; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Gene Library; Humans; Mucin-1; Peptide Library; Prohibitins; ROC Curve; Regression Analysis; Repressor Proteins; Sensitivity and Specificity",10.1007/s13277-015-3932-y,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
26320399,2017,Huang SH,Phage display technique identifies the interaction of severe acute respiratory syndrome coronavirus open reading frame 6 protein with nuclear pore complex interacting protein NPIPB3 in modulating Type I interferon antagonism.,"Severe acute respiratory syndrome coronavirus (SARS-CoV) proteins including ORF6 inhibit Type I interferon (IFN) signaling. This study identified SARS-CoV ORF6-interacting proteins using the phage displayed human lung cDNA libraries, and examined the association of ORF6-host factor interaction with Type I IFN antagonism. After the fifth round of biopanning with Escherichia coli-synthesized ORF6-His tagged protein, the relative binding affinity of phage clones to ORF6 was determined using direct enzyme-linked immunosorbent assay. The highest affinity clone to ORF6 displayed the C-terminal domain of NPIPB3 (nuclear pore complex interacting protein family, member B3; also named as phosphatidylinositol-3-kinase-related kinase SMG-1 isoform 1 homolog). The coimmunoprecipitation assay demonstrated the direct binding of ORF6 to the C-terminal domain of NPIPB3 in vitro. Confocal imaging revealed a close colocalization of SARS-CoV ORF6 protein with NPIPB3 in human promonocytes. The dual luciferase reporter assay showed that the C-terminal domain of NPIPB3 attenuated the antagonistic activity of SARS-CoV ORF6 on IFN-β-induced ISRE (IFN stimulated response element)-responsive firefly luciferase activity. In addition, confocal imaging and Western blotting assays revealed that the increases in STAT-1 nuclear translocation and phosphorylation occurred in the transfected cells expressing both genes of ORF6 and NPIPB3, but not in the ORF6-expressing cells in response to IFN-β. The overexpression of NPIPB3 restored the IFN-β responses in SARS-CoV ORF6 expressing cells, indicating that the interaction of SARS CoV ORF6 and NPIPB3 reduced Type I IFN antagonism by SARS-CoV ORF6.","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",Journal Article,"Cell Surface Display Techniques; Cells, Cultured; Enzyme-Linked Immunosorbent Assay; Host-Pathogen Interactions; Humans; Immunoprecipitation; Interferon Type I; Microscopy, Confocal; Phosphatidylinositol 3-Kinases; Protein Binding; Protein Serine-Threonine Kinases; Severe acute respiratory syndrome-related coronavirus; Viral Proteins",10.1016/j.jmii.2015.07.002,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
